City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Vorontsovka,RU,2022-01-06 21:14:08,overcast clouds,50.6132,40.3549,33.4,98,100,5.7
155,Yiyang,CN,2022-01-06 21:14:09,overcast clouds,28.5892,112.3283,41.16,92,100,7.05
156,Goderich,CA,2022-01-06 21:14:09,light snow,43.7501,-81.7165,22.21,87,100,13.82
157,Motril,ES,2022-01-06 21:14:09,broken clouds,36.7507,-3.5179,55.54,94,71,1.54
158,Carutapera,BR,2022-01-06 21:14:10,overcast clouds,-1.195,-46.02,78.06,87,95,7.54
159,Touros,BR,2022-01-06 21:14:10,broken clouds,-5.1989,-35.4608,83.3,75,67,9.75
160,Burlington,US,2022-01-06 21:10:52,clear sky,39.8835,-74.6413,39.52,47,0,1.01
161,Capoterra,IT,2022-01-06 21:14:11,scattered clouds,39.1763,8.9718,47.53,85,40,6.91
162,Saint-Augustin,CA,2022-01-06 21:14:11,snow,51.226,-58.6502,10.58,92,100,21.34
163,Maceio,BR,2022-01-06 21:09:26,scattered clouds,-9.6658,-35.7353,81.84,78,40,12.66
164,Gualdo Tadino,IT,2022-01-06 21:14:11,overcast clouds,43.2317,12.781,40.86,80,100,1.99
165,Masumbwe,TZ,2022-01-06 21:14:12,scattered clouds,-3.6333,32.1833,64.47,89,50,0.74
166,Pangnirtung,CA,2022-01-06 21:14:12,overcast clouds,66.1451,-65.7125,-15.61,99,100,3.0
167,Oskemen,KZ,2022-01-06 21:14:12,overcast clouds,49.9565,82.6119,13.93,92,100,2.33
168,San Cosme Y Damian,PY,2022-01-06 21:14:13,clear sky,-27.3167,-56.35,89.78,32,0,9.42
169,Nchelenge,ZM,2022-01-06 21:14:13,light rain,-9.3451,28.734,71.26,83,100,2.24
170,Miyako,JP,2022-01-06 21:14:14,broken clouds,39.6367,141.9525,30.16,84,70,6.26
171,Guerrero Negro,MX,2022-01-06 21:14:14,clear sky,27.9769,-114.0611,71.11,32,0,6.67
172,Umba,RU,2022-01-06 21:14:15,overcast clouds,66.6871,34.3429,16.2,90,100,14.7
173,Comodoro Rivadavia,AR,2022-01-06 21:14:15,clear sky,-45.8667,-67.5,78.66,29,0,11.5
174,Auki,SB,2022-01-06 21:14:15,broken clouds,-8.7676,160.7034,79.52,87,82,7.23
175,Castro,BR,2022-01-06 21:14:16,scattered clouds,-24.7911,-50.0119,66.87,93,38,11.12
176,Unai,BR,2022-01-06 21:14:16,moderate rain,-16.3575,-46.9061,76.1,88,67,4.59
